"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 06:20:11 GMT 2025","Sat Jul 19 06:20:14 GMT 2025","2876","tests.courses","test_edit_course","TestEditCourses","","","Creating course and editing it",""
"passed","Sat Jul 19 06:20:13 GMT 2025","Sat Jul 19 06:20:13 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Sat Jul 19 06:20:13 GMT 2025","Sat Jul 19 06:20:13 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Sat Jul 19 06:20:04 GMT 2025","Sat Jul 19 06:20:05 GMT 2025","1233","tests.authentication","test_empty_reg","TestEmptyReg","","","Successful registration",""
"passed","Sat Jul 19 06:20:06 GMT 2025","Sat Jul 19 06:20:07 GMT 2025","1441","tests.authentication","test_registration","TestRegistration","","","Another successful registration",""
"passed","Sat Jul 19 06:20:02 GMT 2025","Sat Jul 19 06:20:03 GMT 2025","1821","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Jul 19 06:20:11 GMT 2025","Sat Jul 19 06:20:13 GMT 2025","1749","tests.dashboard","test_dashboard","TestDashboard","","","Checking dashboard",""
"passed","Sat Jul 19 06:20:04 GMT 2025","Sat Jul 19 06:20:05 GMT 2025","1383","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Jul 19 06:20:02 GMT 2025","Sat Jul 19 06:20:04 GMT 2025","1848","tests.authentication","test_authorization","TestAuthorization","","","User login with wrong email or password",""
"passed","Sat Jul 19 06:20:13 GMT 2025","Sat Jul 19 06:20:13 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Sat Jul 19 06:20:10 GMT 2025","Sat Jul 19 06:20:11 GMT 2025","1295","tests.courses","test_create_courses","TestCourses","","","Check empty course page",""
"passed","Sat Jul 19 06:20:14 GMT 2025","Sat Jul 19 06:20:14 GMT 2025","0","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Sat Jul 19 06:20:13 GMT 2025","Sat Jul 19 06:20:13 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Sat Jul 19 06:20:09 GMT 2025","Sat Jul 19 06:20:11 GMT 2025","1935","tests.courses","test_create_courses","TestCourses","","","Creating course",""
"passed","Sat Jul 19 06:20:06 GMT 2025","Sat Jul 19 06:20:08 GMT 2025","2489","tests.authentication","test_succesful_authorization","TestSuccessfulReg","","","Successful registration with dashboard and login check",""
