"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1474","Check empty course page","tests.courses","Sat Jul 26 17:47:35 UTC 2025","passed","Sat Jul 26 17:47:37 UTC 2025","TestCourses","test_create_courses","",""
"","2155","Checking dashboard","tests.dashboard","Sat Jul 26 17:47:39 UTC 2025","passed","Sat Jul 26 17:47:41 UTC 2025","TestDashboard","test_dashboard","",""
"","1626","User login with wrong email or password","tests.authentication","Sat Jul 26 17:47:28 UTC 2025","passed","Sat Jul 26 17:47:30 UTC 2025","TestAuthorization","test_authorization","",""
"","2409","Creating course","tests.courses","Sat Jul 26 17:47:36 UTC 2025","passed","Sat Jul 26 17:47:39 UTC 2025","TestCourses","test_create_courses","",""
"","1493","Another successful registration","tests.authentication","Sat Jul 26 17:47:32 UTC 2025","passed","Sat Jul 26 17:47:34 UTC 2025","TestRegistration","test_registration","",""
"","1196","Successful registration","tests.authentication","Sat Jul 26 17:47:30 UTC 2025","passed","Sat Jul 26 17:47:32 UTC 2025","TestEmptyReg","test_empty_reg","",""
"","3768","Creating course and editing it","tests.courses","Sat Jul 26 17:47:37 UTC 2025","passed","Sat Jul 26 17:47:41 UTC 2025","TestEditCourses","test_edit_course","",""
"","2556","Successful registration with dashboard and login check","tests.authentication","Sat Jul 26 17:47:32 UTC 2025","passed","Sat Jul 26 17:47:34 UTC 2025","TestSuccessfulReg","test_succesful_authorization","",""
"","1471","User login with wrong email or password","tests.authentication","Sat Jul 26 17:47:30 UTC 2025","passed","Sat Jul 26 17:47:32 UTC 2025","TestAuthorization","test_authorization","",""
"","1627","User login with wrong email or password","tests.authentication","Sat Jul 26 17:47:28 UTC 2025","passed","Sat Jul 26 17:47:30 UTC 2025","TestAuthorization","test_authorization","",""
